Site_Name,Contract_ID,specialist_site_type_code,Num_26_full,Den_26_full,Num_26_path,Den_26_path,Num_26_wrkast,Den_26_wrkast
AimBig Employment HOBART,0212861J,AALL,4.0,12.0,1.0,9.0,0.0,0.0
AimBig Employment HOBART,0212892E,(blank),2.0,10.0,0.0,8.0,0.0,0.0
AimBig Employment HORNSBY,0212841E,AALL,7.0,23.0,0.0,16.0,0.0,0.0
AimBig Employment HORNSBY,0212898K,AALL,4.0,36.0,0.0,32.0,0.0,0.0
AimBig Employment HUONVILLE,0212861J,AALL,0.0,8.0,0.0,8.0,0.0,0.0
AimBig Employment HUONVILLE,0212892E,(blank),0.0,8.0,0.0,8.0,0.0,0.0
AimBig Employment HURSTVILLE,0212855K,AALL,5.0,46.0,0.0,41.0,0.0,0.0
AimBig Employment HURSTVILLE,0212904D,AALL,17.0,65.0,0.0,48.0,0.0,0.0
AimBig Employment HYDE PARK,0212804K,MENH,0.0,16.0,0.0,16.0,0.0,0.0
AimBig Employment HYDE PARK,0212805A,MUSK,0.0,0.0,0.0,0.0,0.0,0.0
AimBig Employment INALA,0212796E,(blank),6.0,54.0,0.0,48.0,0.0,0.0
AimBig Employment INALA,0212797F,(blank),3.0,3.0,0.0,0.0,0.0,0.0
AimBig Employment INGLEBURN,0212849B,AALL,10.0,26.0,0.0,16.0,0.0,0.0
AimBig Employment INGLEBURN,0212902B,AALL,2.0,10.0,0.0,8.0,0.0,0.0
AimBig Employment INVERELL,0212828H,AALL,6.0,22.0,0.0,16.0,0.0,0.0
AimBig Employment INVERELL,0212889K,AALL,11.0,35.0,0.0,24.0,0.0,0.0
AimBig Employment JOONDALUP,0212833E,MENH,10.0,50.0,2.0,42.0,0.0,0.0
AimBig Employment JOONDALUP,0212834F,(blank),3.0,19.0,0.0,16.0,0.0,0.0
AimBig Employment KANWAL,0212812K,AALL,8.0,64.0,0.0,56.0,0.0,0.0
AimBig Employment KANWAL,0212881B,AALL,16.0,76.0,1.0,61.0,0.0,0.0
AimBig Employment LEICHHARDT,0212845J,AALL,21.0,94.0,0.0,73.0,0.0,0.0
AimBig Employment LEICHHARDT,0212900K,AALL,10.0,87.0,0.0,77.0,0.0,0.0
AimBig Employment LISMORE,0212829J,AALL,6.0,62.0,0.0,56.0,0.0,0.0
AimBig Employment LISMORE,0212890C,(blank),0.0,16.0,0.0,16.0,0.0,0.0
AimBig Employment LIVERPOOL,0212848A,AALL,10.0,102.0,0.0,92.0,0.0,0.0
AimBig Employment LIVERPOOL,0212901A,AALL,10.0,110.0,0.0,100.0,0.0,0.0
AimBig Employment MACKAY,0212802J,MENH,4.0,4.0,0.0,0.0,0.0,0.0
AimBig Employment MACKAY,0212803K,MUSK,2.0,18.0,0.0,16.0,0.0,0.0
AimBig Employment MACQUARIE PARK,0212851G,(blank),0.0,8.0,0.0,8.0,0.0,0.0
AimBig Employment MACQUARIE PARK,0212852H,(blank),3.0,3.0,0.0,0.0,0.0,0.0
AimBig Employment MAITLAND,0212813A,AALL,9.0,41.0,1.0,33.0,0.0,0.0
AimBig Employment MAITLAND,0212882C,AALL,15.0,71.0,0.0,56.0,0.0,0.0
AimBig Employment MARRICKVILLE,0212845J,AALL,11.0,19.0,0.0,8.0,0.0,0.0
AimBig Employment MARRICKVILLE,0212900K,AALL,9.0,60.0,0.0,51.0,0.0,0.0
AimBig Employment MARYBOROUGH,0212858C,AALL,1.0,9.0,0.0,8.0,0.0,0.0
AimBig Employment MARYBOROUGH,0212894G,AALL,0.0,8.0,0.0,8.0,0.0,0.0
AimBig Employment MELBOURNE,0212824D,(blank),6.0,22.0,0.0,16.0,0.0,0.0
AimBig Employment MELBOURNE,0212825E,MUSK,10.0,42.0,1.0,33.0,0.0,0.0
AimBig Employment MERRYLANDS,0212898K,AALL,0.0,0.0,0.0,0.0,0.0,0.0
AimBig Employment MILDURA,0212866C,MENH,0.0,16.0,0.0,16.0,0.0,0.0
AimBig Employment MILE END,0212791K,MENH,9.0,41.0,1.0,33.0,0.0,0.0
AimBig Employment MILE END,0212792A,(blank),4.0,28.0,1.0,25.0,0.0,0.0
AimBig Employment MILES,0212838K,AALL,3.0,19.0,0.0,16.0,0.0,0.0
AimBig Employment MILES,0212897K,AALL,1.0,9.0,1.0,9.0,0.0,0.0
AimBig Employment MIRANDA,0212855K,AALL,5.0,53.0,0.0,48.0,0.0,0.0
AimBig Employment MIRANDA,0212904D,AALL,9.0,36.0,0.0,27.0,0.0,0.0
AimBig Employment MITCHELTON,0212795D,AALL,6.0,19.0,0.0,13.0,0.0,0.0
AimBig Employment MITCHELTON,0212879H,AALL,8.0,61.0,1.0,54.0,0.0,0.0
AimBig Employment MOONEE PONDS,0212817E,AALL,21.0,181.0,1.0,161.0,0.0,0.0
AimBig Employment MOONEE PONDS,0212886G,AALL,28.0,188.0,0.0,160.0,0.0,0.0
AimBig Employment MOUNT DRUITT,0212853J,MENH,13.0,37.0,0.0,24.0,0.0,0.0
AimBig Employment MOUNT DRUITT,0212854K,MUSK,5.0,13.0,0.0,8.0,0.0,0.0
AimBig Employment NAMBUCCA HEADS,0212826F,AALL,2.0,18.0,0.0,16.0,0.0,0.0
AimBig Employment NAMBUCCA HEADS,0212887H,(blank),1.0,1.0,0.0,0.0,0.0,0.0
AimBig Employment NERANG,0212793B,MENH,3.0,3.0,0.0,0.0,0.0,0.0
AimBig Employment NERANG,0212794C,(blank),1.0,1.0,0.0,0.0,0.0,0.0
AimBig Employment NEWPORT,0212822B,MENH,7.0,38.0,0.0,31.0,0.0,0.0
AimBig Employment NEWPORT,0212823C,MUSK,6.0,14.0,1.0,9.0,0.0,0.0
AimBig Employment NORTH LAKES,0212795D,AALL,26.0,138.0,3.0,115.0,0.0,0.0
AimBig Employment NORTH LAKES,0212879H,AALL,17.0,81.0,0.0,64.0,0.0,0.0
AimBig Employment NORWOOD,0212789F,(blank),1.0,1.0,0.0,0.0,0.0,0.0
AimBig Employment NORWOOD,0212790K,MUSK,1.0,1.0,0.0,0.0,0.0,0.0
AimBig Employment ORANGE,0212872A,MENH,2.0,2.0,0.0,0.0,0.0,0.0
AimBig Employment ORANGE,0212873B,MUSK,1.0,9.0,0.0,8.0,0.0,0.0
AimBig Employment OSBORNE PARK,0212833E,MENH,1.0,9.0,0.0,8.0,0.0,0.0
AimBig Employment OSBORNE PARK,0212834F,(blank),0.0,0.0,0.0,0.0,0.0,0.0
AimBig Employment PARRAMATTA,0212841E,AALL,17.0,78.0,0.0,61.0,0.0,0.0
AimBig Employment PARRAMATTA,0212898K,AALL,16.0,102.0,0.0,86.0,0.0,0.0
AimBig Employment PENRITH,0212850F,AALL,17.0,85.0,0.0,68.0,0.0,0.0
AimBig Employment PENRITH,0212903C,(blank),18.0,146.0,0.0,128.0,0.0,0.0
AimBig Employment PHILLIP,0212835G,(blank),3.0,27.0,0.0,24.0,0.0,0.0
AimBig Employment PHILLIP,0212836H,MUSK,1.0,1.0,0.0,0.0,0.0,0.0
AimBig Employment PORT MACQUARIE,0212827G,(blank),2.0,50.0,0.0,48.0,0.0,0.0
AimBig Employment PORT MACQUARIE,0212888J,(blank),5.0,13.0,0.0,8.0,0.0,0.0
AimBig Employment PROSPECT,0212789F,(blank),14.0,54.0,0.0,40.0,0.0,0.0
AimBig Employment PROSPECT,0212790K,MUSK,4.0,20.0,0.0,16.0,0.0,0.0
AimBig Employment Pty Ltd BACCHUS MARSH,0212822B,MENH,1.0,1.0,0.0,0.0,0.0,0.0
AimBig Employment Pty Ltd CAPEL SOUND,0212818F,MENH,0.0,8.0,0.0,8.0,0.0,0.0
AimBig Employment Pty Ltd GEELONG,0212862K,AALL,0.0,8.0,0.0,8.0,0.0,0.0
AimBig Employment Pty Ltd GEELONG,0212895H,AALL,1.0,17.0,0.0,16.0,0.0,0.0
AimBig Employment Pty Ltd HOPPERS CROSSING,0212822B,MENH,0.0,0.0,0.0,0.0,0.0,0.0
AimBig Employment Pty Ltd MELTON,0212822B,MENH,0.0,8.0,0.0,8.0,0.0,0.0
AimBig Employment Pty Ltd MELTON,0212823C,MUSK,2.0,26.0,0.0,24.0,0.0,0.0
AimBig Employment Pty Ltd PRESTON,0212820K,MENH,0.0,0.0,0.0,0.0,0.0,0.0
AimBig Employment Pty Ltd PRESTON,0212821A,MUSK,0.0,0.0,0.0,0.0,0.0,0.0
AimBig Employment Pty Ltd RESERVOIR,0212820K,MENH,4.0,12.0,0.0,8.0,0.0,0.0
AimBig Employment Pty Ltd RESERVOIR,0212821A,MUSK,3.0,11.0,0.0,8.0,0.0,0.0
AimBig Employment Pty Ltd ST ALBANS,0212822B,MENH,4.0,36.0,0.0,32.0,0.0,0.0
AimBig Employment Pty Ltd ST ALBANS,0212823C,MUSK,4.0,4.0,0.0,0.0,0.0,0.0
AimBig Employment Pty Ltd SUNBURY,0212817E,AALL,0.0,0.0,0.0,0.0,0.0,0.0
AimBig Employment Pty Ltd THOMASTOWN,0212820K,MENH,0.0,8.0,0.0,8.0,0.0,0.0
AimBig Employment Pty Ltd THOMASTOWN,0212821A,MUSK,0.0,0.0,0.0,0.0,0.0,0.0
AimBig Employment Pty Ltd. ARMIDALE,0212889K,AALL,1.0,9.0,0.0,8.0,0.0,0.0
AimBig Employment Pty Ltd. SEATON,0212791K,MENH,1.0,1.0,1.0,1.0,0.0,0.0
AimBig Employment Pty Ltd. SEATON,0212792A,(blank),1.0,1.0,0.0,0.0,0.0,0.0
AimBig Employment ROCKDALE,0212855K,AALL,8.0,47.0,0.0,39.0,0.0,0.0
AimBig Employment ROCKDALE,0212904D,AALL,1.0,32.0,0.0,31.0,0.0,0.0
AimBig Employment ROCKHAMPTON CITY,0212800G,MENH,5.0,13.0,1.0,9.0,0.0,0.0
AimBig Employment ROCKHAMPTON CITY,0212801H,MUSK,3.0,11.0,0.0,8.0,0.0,0.0
AimBig Employment ROCKINGHAM,0212831C,MENH,9.0,57.0,0.0,48.0,0.0,0.0
AimBig Employment ROCKINGHAM,0212832D,MUSK,0.0,56.0,0.0,56.0,0.0,0.0
AimBig Employment ROMA,0212838K,AALL,6.0,22.0,0.0,16.0,0.0,0.0
AimBig Employment ROMA,0212897K,AALL,3.0,19.0,0.0,16.0,0.0,0.0
AimBig Employment ROSNY PARK,0212861J,AALL,1.0,25.0,0.0,24.0,0.0,0.0
AimBig Employment ROSNY PARK,0212892E,(blank),1.0,17.0,0.0,16.0,0.0,0.0
AimBig Employment RYDE,0212851G,(blank),6.0,14.0,0.0,8.0,0.0,0.0
AimBig Employment RYDE,0212852H,(blank),0.0,0.0,0.0,0.0,0.0,0.0
AimBig Employment SALE,0212876E,(blank),0.0,16.0,0.0,16.0,0.0,0.0
AimBig Employment SINGLETON,0212816D,AALL,7.0,7.0,0.0,0.0,0.0,0.0
AimBig Employment SINGLETON,0212885F,(blank),3.0,3.0,0.0,0.0,0.0,0.0
AimBig Employment SOUTHPORT,0212793B,MENH,2.0,2.0,0.0,0.0,0.0,0.0
AimBig Employment STRATHPINE,0212795D,AALL,2.0,2.0,0.0,0.0,0.0,0.0
AimBig Employment SUNSHINE,0212822B,MENH,4.0,20.0,0.0,16.0,0.0,0.0
AimBig Employment SUNSHINE,0212823C,MUSK,5.0,29.0,0.0,24.0,0.0,0.0
AimBig Employment SUNSHINE WEST,0212822B,MENH,2.0,2.0,0.0,0.0,0.0,0.0
AimBig Employment SUNSHINE WEST,0212823C,MUSK,1.0,17.0,0.0,16.0,0.0,0.0
AimBig Employment SURFERS PARADISE,0212793B,MENH,8.0,53.0,1.0,46.0,0.0,0.0
AimBig Employment SURFERS PARADISE,0212794C,(blank),7.0,45.0,1.0,39.0,0.0,0.0
AimBig Employment SURRY HILLS,0212845J,AALL,22.0,102.0,0.0,80.0,0.0,0.0
AimBig Employment SURRY HILLS,0212900K,AALL,13.0,71.0,0.0,58.0,0.0,0.0
AimBig Employment SYDNEY,0212845J,AALL,5.0,37.0,0.0,32.0,0.0,0.0
AimBig Employment SYDNEY,0212900K,AALL,5.0,37.0,0.0,32.0,0.0,0.0
AimBig Employment TAMWORTH,0212814B,AALL,8.0,80.0,0.0,72.0,0.0,0.0
AimBig Employment TAMWORTH,0212883D,(blank),8.0,48.0,0.0,40.0,0.0,0.0
AimBig Employment TAYLORS LAKES,0212822B,MENH,6.0,12.0,0.0,6.0,0.0,0.0
AimBig Employment TAYLORS LAKES,0212823C,MUSK,17.0,57.0,1.0,41.0,0.0,0.0
AimBig Employment THE ENTRANCE,0212812K,AALL,7.0,16.0,0.0,9.0,0.0,0.0
AimBig Employment THE ENTRANCE,0212881B,AALL,14.0,62.0,0.0,48.0,0.0,0.0
AimBig Employment TIWI,0212830B,AALL,4.0,12.0,0.0,8.0,0.0,0.0
AimBig Employment TIWI,0212891D,AALL,2.0,10.0,0.0,8.0,0.0,0.0
AimBig Employment TOOWONG,0212795D,AALL,20.0,46.0,2.0,28.0,0.0,0.0
AimBig Employment TOOWONG,0212879H,AALL,26.0,118.0,0.0,92.0,0.0,0.0
AimBig Employment TRARALGON,0212877F,(blank),0.0,0.0,0.0,0.0,0.0,0.0
AimBig Employment UPPER MOUNT GRAVATT,0212796E,(blank),15.0,23.0,0.0,8.0,0.0,0.0
AimBig Employment UPPER MOUNT GRAVATT,0212797F,(blank),12.0,36.0,0.0,24.0,0.0,0.0
AimBig Employment WANGURI,0212830B,AALL,0.0,0.0,0.0,0.0,0.0,0.0
AimBig Employment WANGURI,0212891D,AALL,0.0,0.0,0.0,0.0,0.0,0.0
AimBig Employment WARRNAMBOOL,0212863K,MENH,10.0,58.0,0.0,48.0,0.0,0.0
AimBig Employment WARRNAMBOOL,0212864A,MUSK,1.0,17.0,0.0,16.0,0.0,0.0
AimBig Employment WERRIBEE,0212822B,MENH,18.0,114.0,0.0,96.0,0.0,0.0
AimBig Employment WERRIBEE,0212823C,MUSK,14.0,51.0,0.0,37.0,0.0,0.0
AimBig Employment WOLLONGONG,0212856A,(blank),2.0,18.0,0.0,16.0,0.0,0.0
AimBig Employment WOLLONGONG,0212857B,MUSK,1.0,33.0,0.0,32.0,0.0,0.0
AimBig Employment WOOLLOONGABBA,0212796E,(blank),6.0,46.0,0.0,40.0,0.0,0.0
AimBig Employment WOOLLOONGABBA,0212797F,(blank),3.0,11.0,0.0,8.0,0.0,0.0
AimBig Employment WOY WOY,0212812K,AALL,15.0,16.0,0.0,1.0,0.0,0.0
AimBig Employment WOY WOY,0212881B,AALL,14.0,53.0,0.0,39.0,0.0,0.0
AimBig Employment WYONG,0212812K,AALL,8.0,8.0,0.0,0.0,0.0,0.0
AimBig Employment WYONG,0212881B,AALL,7.0,29.0,0.0,22.0,0.0,0.0
Aimbig Employment LAUNCESTON,0212865B,(blank),6.0,14.0,0.0,8.0,0.0,0.0
Aimbig Employment LAUNCESTON,0212893F,AALL,3.0,19.0,0.0,16.0,0.0,0.0
Aimbig Employment RICHMOND,0212850F,AALL,0.0,0.0,0.0,0.0,0.0,0.0
