,Job_Seeker_ID,Num_52,Den_52
0,9386301003,0.0,0.0
0,8653691003,0.0,8.0
0,7870290004,0.0,8.0
0,6498977509,0.0,0.0
0,6638331004,0.0,0.0
0,2792458409,0.0,0.0
0,8538100019,0.0,8.0
0,2580218019,0.0,0.0
0,9277440019,0.0,0.0
0,687762409,0.0,0.0
0,1285516019,0.0,0.0
0,3476477809,0.0,0.0
0,693930,0.0,8.0
0,758170509,0.0,0.0
0,6590743003,0.0,0.0
0,861639909,0.0,0.0
0,4449170004,0.0,0.0
0,1402890004,0.0,0.0
0,7922400909,0.0,0.0
0,9923186409,0.0,0.0
0,2464218019,0.0,0.0
0,9331683119,0.0,8.0
0,6091507509,0.0,0.0
0,124851004,0.0,8.0
0,3210074019,0.0,0.0
0,5023452809,0.0,8.0
0,3921020003,0.0,0.0
0,846010309,0.0,0.0
0,1272832119,0.0,8.0
0,5190478609,0.0,8.0
0,2981440909,0.0,0.0
0,6410979019,0.0,0.0
