CONTRACT_ID,SITE_NAME,SPECIALTY_CD,NUMERATOR,DENOMINATOR
0212789F,AimBig Employment MAYLANDS,MENH,0,0
0212789F,AimBig Employment PROSPECT,MENH,3,48
0212789F,AimBig Employment DULWICH,MENH,0,0
0212790K,AimBig Employment PROSPECT,MUSK,1,29
0212790K,AimBig Employment MAYLANDS,MUSK,0,0
0212790K,AimBig Employment DULWICH,MUSK,0,0
0212792A,AimBig Employment Pty Ltd. SEATON,MUSK,0,0
0212792A,AimBig Employment MILE END,MUSK,0,17
0212791K,AimBig Employment MILE END,MENH,1,31
0212791K,AimBig Employment Pty Ltd. SEATON,MENH,0,0
0212794C,AimBig Employment NERANG,MUSK,0,1
0212794C,AimBig Employment SOUTHPORT,MUSK,0,0
0212794C,AimBig Employment BURLEIGH HEADS,MUSK,0,14
0212793B,AimBig Employment NERANG,MENH,0,4
0212793B,AimBig Employment BURLEIGH HEADS,MENH,7,58
0212793B,AimBig Employment SURFERS PARADISE,MENH,9,37
0212793B,AimBig Employment Pty Ltd SOUTHPORT,MENH,0,0
0212793B,AimBig Employment SOUTHPORT,MENH,0,2
0212794C,AimBig Employment SURFERS PARADISE,MUSK,6,45
0212879H,AimBig Employment STRATHPINE,AALL,0,0
0212879H,AimBig Employment NORTH LAKES,AALL,4,48
0212879H,AimBig Employment CHERMSIDE,AALL,8,26
0212879H,AimBig Employment MITCHELTON,AALL,4,25
0212879H,AimBig Employment TOOWONG,AALL,6,71
0212795D,AimBig Employment STRATHPINE,AALL,0,2
0212795D,AimBig Employment CHERMSIDE,AALL,5,27
0212795D,AimBig Employment FORTITUDE VALLEY,AALL,0,16
0212795D,AimBig Employment MITCHELTON,AALL,2,19
0212795D,AimBig Employment TOOWONG,AALL,8,52
0212795D,AimBig Employment NORTH LAKES,AALL,18,83
0212879H,AimBig Employment FORTITUDE VALLEY,AALL,4,25
0212797F,AimBig Employment CAPALABA,MUSK,0,0
0212796E,AimBig Employment CAPALABA,MENH,0,0
0212797F,AimBig Employment WOOLLOONGABBA,MUSK,1,9
0212796E,AimBig Employment INALA,MENH,2,8
0212797F,AimBig Employment INALA,MUSK,2,7
0212796E,AimBig Employment WOOLLOONGABBA,MENH,2,30
0212797F,AimBig Employment UPPER MOUNT GRAVATT,MUSK,4,36
0212796E,AimBig Employment UPPER MOUNT GRAVATT,MENH,9,50
0212875D,AimBig Employment CALOUNDRA,MUSK,2,11
0212874C,AimBig Employment CALOUNDRA,MENH,0,19
0212798G,AimBig Employment CAIRNS CITY,MENH,10,38
0212799H,AimBig Employment CAIRNS CITY,MUSK,5,14
0212801H,AimBig Employment ROCKHAMPTON CITY,MUSK,3,18
0212800G,AimBig Employment ROCKHAMPTON CITY,MENH,3,20
0212803K,AimBig Employment MACKAY,MUSK,3,11
0212802J,AimBig Employment MACKAY,MENH,3,20
0212804K,AimBig Employment AITKENVALE,MENH,11,31
0212805A,AimBig Employment AITKENVALE,MUSK,1,13
0212806B,AimBig Employment SALE,MENH,0,0
0212876E,AimBig Employment SALE,MUSK,0,0
0212878G,AimBig Employment TRARALGON,MUSK,0,0
0212877F,AimBig Employment TRARALGON,MENH,0,0
0212807C,AimBig Employment KALGOORLIE,AALL,0,0
0212880A,AimBig Employment KALGOORLIE,AALL,0,0
0212808D,AimBig Employment GERALDTON,MENH,0,0
0212811K,AimBig Employment BUNBURY,MUSK,1,6
0212810J,AimBig Employment BUNBURY,MENH,2,13
0212881B,AimBig Employment WYONG,AALL,3,18
0212881B,AimBig Employment WOY WOY,AALL,2,27
0212881B,AimBig Employment GOSFORD,AALL,1,21
0212881B,AimBig Employment ETTALONG BEACH,AALL,5,54
0212881B,AimBig Employment THE ENTRANCE,AALL,4,33
0212881B,AimBig Employment KANWAL,AALL,7,62
0212812K,AimBig Employment THE ENTRANCE,AALL,6,33
0212812K,AimBig Employment WOY WOY,AALL,6,30
0212812K,AimBig Employment KANWAL,AALL,4,28
0212812K,AimBig Employment WYONG,AALL,4,15
0212812K,AimBig Employment GOSFORD,AALL,1,13
0212812K,AimBig Employment ETTALONG BEACH,AALL,3,54
0212813A,AimBig Employment MAITLAND,AALL,2,33
0212813A,AimBig Employment CESSNOCK,AALL,5,37
0212882C,AimBig Employment CESSNOCK,AALL,2,31
0212882C,AimBig Employment MAITLAND,AALL,8,49
0212814B,AimBig Employment TAMWORTH,AALL,3,37
0212814B,AimBig Employment GUNNEDAH,AALL,0,8
0212883D,AimBig Employment GUNNEDAH,AALL,0,13
0212883D,AimBig Employment TAMWORTH,AALL,2,44
0212815C,AimBig Employment BROADMEADOW,AALL,12,44
